,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
2819,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRIGO, gluten",18000,BOLSAS,AUSTRALIA
2820,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, madera aserrada con algún proceso de la CRF2",67681,PAQUETES,CHILE
2821,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRACTOR USADO, con motor de potencia superior a 130KW",17100,UNIDADES,EEUU
2822,2026,2,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",31500,SACO(S),BRASIL
2823,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",24000,SACO(S),CHILE
2824,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",182910,PALETAS,INDIA
2825,2026,2,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",28695,SACO(S),BRASIL
2826,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),116000,SACO(S),BOLIVIA
2827,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",116000,SACO(S),BOLIVIA
2828,2026,2,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",32000,UNIDADES,ECUADOR
2829,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",18760,CAJA(S),ECUADOR
2830,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",22000,CAJA(S),ECUADOR
2831,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, seco industrial",23000,SACO(S),INDONESIA
2832,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",87000,SACO(S),BOLIVIA
2833,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MARAÑON (NUEZ DE CAJU), sin cáscara seca al natural",8164.8,CAJA(S),BRASIL
2834,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PIMIENTA, molida",3275,BOLSAS,CHINA
2835,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJI, polvo",20,BOLSAS,CHINA
2836,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CANELA, triturada o pulverizada (molida)",13600,BOLSAS,CHINA
2837,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CURRY, secas industrial o trituradas o molidas",210,BOLSAS,CHINA
2838,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CANELA, triturada o pulverizada (molida)",971.8,BOLSAS,CHINA
2839,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, harina",960,BOLSAS,CHINA
2840,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"UVA (PASAS), secas naturalmente",20200,CAJA(S),CHILE
2841,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MIMBRE, artículos de cestería (canasta, cestos u otros)",284.647,CAJAS DE CARTON,CHINA
2842,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MATERIAS VEGETALES, para tallar trabajadas con algun proceso de la CRF 2",176.678,BINES DE CARTON,CHINA
2843,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CAUCHO, técnicamente especificado (TSNR)",80640,PALETAS,INDONESIA
2844,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MADERA, láminas para chapado
",6900,PIEZAS,CHINA
2845,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MADERA, láminas para chapado
",8700,UNIDADES,CHINA
2846,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PERA, fruta fresca",22680,CAJA(S),ARGENTINA
2847,2026,2,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",30035,SACO(S),BRASIL
2848,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PERA, fruta fresca",22680,CAJA(S),ARGENTINA
